transaction_id,date,time,day_of_week,time_slot,categories,city,customer_type,payment_method
TXN-09621,2024-01-01,14:22,Monday,Afternoon,"Fruits and vegetables, Snacks and drinks, Dairy products and eggs",Guayaquil,Regular,Credit card
TXN-09366,2024-01-01,15:15,Monday,Afternoon,"Personal care, Dairy products and eggs",Guayaquil,Regular,Credit card
TXN-01764,2024-01-01,15:43,Monday,Afternoon,"Snacks and drinks, Fruits and vegetables, Home cleaning",Guayaquil,Regular,Credit card
TXN-08868,2024-01-01,15:45,Monday,Afternoon,"Dairy products and eggs, Meats and sausages, Snacks and drinks",Guayaquil,New,Cash
TXN-06075,2024-01-01,15:57,Monday,Afternoon,"Fruits and vegetables, Dairy products and eggs",Quito,Regular,Debit card
TXN-07417,2024-01-01,16:36,Monday,Afternoon,"Meats and sausages, Snacks and drinks, Personal care",Guayaquil,Regular,Cash
TXN-01197,2024-01-01,19:08,Monday,Evening,"Dairy products and eggs, Home cleaning, Fruits and vegetables, Snacks and drinks",Quito,Regular,Cash
TXN-02695,2024-01-01,19:29,Monday,Evening,"Home cleaning, Snacks and drinks, Fruits and vegetables, Personal care",Guayaquil,Regular,Cash
TXN-09907,2024-01-01,19:42,Monday,Evening,"Snacks and drinks, Personal care, Fruits and vegetables, Home cleaning",Guayaquil,Regular,Debit card
TXN-03584,2024-01-01,20:46,Monday,Evening,"Snacks and drinks, Dairy products and eggs, Personal care",Guayaquil,New,Debit card
TXN-04776,2024-01-01,20:57,Monday,Evening,"Dairy products and eggs, Home cleaning, Fruits and vegetables",Quito,Regular,Cash
TXN-09260,2024-01-02,09:43,Tuesday,Morning,"Dairy products and eggs, Fruits and vegetables, Meats and sausages",Quito,Regular,Debit card
TXN-00202,2024-01-02,10:05,Tuesday,Morning,"Personal care, Home cleaning, Snacks and drinks",Quito,Regular,Debit card
TXN-04016,2024-01-02,10:45,Tuesday,Morning,"Dairy products and eggs, Personal care",Cuenca,Regular,Cash
TXN-06143,2024-01-02,11:07,Tuesday,Morning,"Dairy products and eggs, Fruits and vegetables",Guayaquil,Regular,Cash
TXN-07032,2024-01-02,11:16,Tuesday,Morning,"Fruits and vegetables, Dairy products and eggs, Meats and sausages, Snacks and drinks",Guayaquil,New,Debit card
TXN-01503,2024-01-02,11:33,Tuesday,Morning,"Fruits and vegetables, Dairy products and eggs, Personal care",Guayaquil,Regular,Debit card
TXN-05361,2024-01-02,12:53,Tuesday,Afternoon,"Dairy products and eggs, Snacks and drinks",Guayaquil,Regular,Cash
TXN-00910,2024-01-02,13:23,Tuesday,Afternoon,"Meats and sausages, Home cleaning, Fruits and vegetables",Cuenca,Regular,Cash
TXN-09624,2024-01-02,13:34,Tuesday,Afternoon,"Snacks and drinks, Fruits and vegetables, Meats and sausages",Quito,New,Credit card
TXN-00415,2024-01-02,13:58,Tuesday,Afternoon,"Home cleaning, Meats and sausages",Guayaquil,New,Debit card
TXN-03692,2024-01-02,14:24,Tuesday,Afternoon,"Dairy products and eggs, Meats and sausages",Quito,Regular,Debit card
TXN-04233,2024-01-02,14:32,Tuesday,Afternoon,"Home cleaning, Snacks and drinks, Fruits and vegetables",Cuenca,New,Cash
TXN-02184,2024-01-02,15:18,Tuesday,Afternoon,"Snacks and drinks, Home cleaning",Cuenca,Regular,Credit card
TXN-04366,2024-01-02,15:19,Tuesday,Afternoon,"Meats and sausages, Home cleaning",Quito,Regular,Credit card
TXN-03730,2024-01-02,15:28,Tuesday,Afternoon,"Snacks and drinks, Meats and sausages, Fruits and vegetables",Guayaquil,Regular,Debit card
TXN-02340,2024-01-02,17:26,Tuesday,Afternoon,"Fruits and vegetables, Dairy products and eggs, Home cleaning, Personal care",Quito,Regular,Debit card
TXN-09159,2024-01-02,17:33,Tuesday,Afternoon,"Meats and sausages, Fruits and vegetables, Snacks and drinks",Cuenca,Regular,Debit card
TXN-05312,2024-01-02,17:48,Tuesday,Afternoon,"Personal care, Snacks and drinks, Meats and sausages",Guayaquil,Regular,Credit card
TXN-02055,2024-01-02,19:33,Tuesday,Evening,"Personal care, Snacks and drinks, Meats and sausages, Home cleaning",Guayaquil,Regular,Debit card
TXN-03981,2024-01-02,19:51,Tuesday,Evening,"Meats and sausages, Personal care",Guayaquil,New,Credit card
TXN-00054,2024-01-02,20:54,Tuesday,Evening,"Fruits and vegetables, Personal care, Snacks and drinks, Dairy products and eggs",Quito,New,Credit card
TXN-07262,2024-01-03,09:54,Wednesday,Morning,"Dairy products and eggs, Home cleaning, Fruits and vegetables",Guayaquil,Regular,Credit card
TXN-09279,2024-01-03,09:57,Wednesday,Morning,"Dairy products and eggs, Fruits and vegetables, Meats and sausages",Quito,Regular,Debit card
TXN-04850,2024-01-03,10:07,Wednesday,Morning,"Meats and sausages, Dairy products and eggs, Home cleaning",Cuenca,Regular,Credit card
TXN-01350,2024-01-03,10:13,Wednesday,Morning,"Meats and sausages, Dairy products and eggs",Guayaquil,New,Cash
TXN-05700,2024-01-03,10:21,Wednesday,Morning,"Personal care, Dairy products and eggs",Quito,New,Credit card
TXN-04381,2024-01-03,10:22,Wednesday,Morning,"Dairy products and eggs, Meats and sausages, Fruits and vegetables",Guayaquil,New,Credit card
TXN-05174,2024-01-03,10:22,Wednesday,Morning,"Personal care, Home cleaning",Guayaquil,Regular,Credit card
TXN-01455,2024-01-03,10:49,Wednesday,Morning,"Dairy products and eggs, Snacks and drinks",Guayaquil,Regular,Debit card
TXN-03121,2024-01-03,11:12,Wednesday,Morning,"Dairy products and eggs, Fruits and vegetables",Guayaquil,Regular,Cash
TXN-06816,2024-01-03,11:42,Wednesday,Morning,"Fruits and vegetables, Snacks and drinks",Guayaquil,New,Credit card
TXN-02196,2024-01-03,12:01,Wednesday,Afternoon,"Snacks and drinks, Home cleaning, Meats and sausages",Cuenca,Regular,Cash
TXN-04102,2024-01-03,12:49,Wednesday,Afternoon,"Meats and sausages, Dairy products and eggs, Fruits and vegetables",Guayaquil,Regular,Credit card
TXN-00259,2024-01-03,13:09,Wednesday,Afternoon,"Meats and sausages, Home cleaning, Fruits and vegetables",Guayaquil,Regular,Cash
TXN-00444,2024-01-03,14:21,Wednesday,Afternoon,"Meats and sausages, Fruits and vegetables",Guayaquil,Regular,Cash
TXN-02370,2024-01-03,14:35,Wednesday,Afternoon,"Dairy products and eggs, Meats and sausages",Quito,Regular,Debit card
TXN-08120,2024-01-03,15:04,Wednesday,Afternoon,"Personal care, Snacks and drinks",Quito,New,Debit card
TXN-06782,2024-01-03,15:21,Wednesday,Afternoon,"Snacks and drinks, Personal care",Guayaquil,Regular,Debit card
TXN-03005,2024-01-03,16:26,Wednesday,Afternoon,"Home cleaning, Fruits and vegetables, Meats and sausages, Dairy products and eggs",Quito,Regular,Credit card
TXN-06312,2024-01-03,16:27,Wednesday,Afternoon,"Meats and sausages, Fruits and vegetables, Home cleaning",Guayaquil,Regular,Cash
TXN-00374,2024-01-03,17:49,Wednesday,Afternoon,"Meats and sausages, Dairy products and eggs, Snacks and drinks",Guayaquil,Regular,Debit card
TXN-02300,2024-01-03,17:54,Wednesday,Afternoon,"Meats and sausages, Personal care, Dairy products and eggs",Guayaquil,Regular,Credit card
TXN-03092,2024-01-03,18:21,Wednesday,Evening,"Snacks and drinks, Home cleaning",Guayaquil,Regular,Debit card
TXN-04972,2024-01-03,18:55,Wednesday,Evening,"Home cleaning, Meats and sausages, Personal care, Snacks and drinks",Quito,New,Credit card
TXN-00872,2024-01-04,09:06,Thursday,Morning,"Dairy products and eggs, Snacks and drinks, Fruits and vegetables",Guayaquil,Regular,Credit card
TXN-08262,2024-01-04,09:18,Thursday,Morning,"Dairy products and eggs, Personal care, Home cleaning, Meats and sausages",Quito,Regular,Cash
TXN-02230,2024-01-04,09:23,Thursday,Morning,"Personal care, Dairy products and eggs, Fruits and vegetables",Cuenca,Regular,Credit card
TXN-08810,2024-01-04,09:35,Thursday,Morning,"Fruits and vegetables, Snacks and drinks",Cuenca,Regular,Cash
TXN-03783,2024-01-04,09:48,Thursday,Morning,"Fruits and vegetables, Personal care",Cuenca,Regular,Credit card
TXN-07598,2024-01-04,10:40,Thursday,Morning,"Fruits and vegetables, Snacks and drinks, Meats and sausages",Quito,New,Debit card
TXN-07233,2024-01-04,11:13,Thursday,Morning,"Home cleaning, Fruits and vegetables, Meats and sausages",Guayaquil,Regular,Cash
TXN-08121,2024-01-04,11:14,Thursday,Morning,"Dairy products and eggs, Fruits and vegetables",Cuenca,New,Cash
TXN-03880,2024-01-04,11:16,Thursday,Morning,"Fruits and vegetables, Personal care, Meats and sausages",Quito,Regular,Cash
TXN-09488,2024-01-04,11:22,Thursday,Morning,"Home cleaning, Dairy products and eggs",Quito,Regular,Credit card
TXN-08413,2024-01-04,12:10,Thursday,Afternoon,"Home cleaning, Snacks and drinks",Quito,Regular,Credit card
TXN-00568,2024-01-04,12:30,Thursday,Afternoon,"Fruits and vegetables, Personal care, Snacks and drinks",Quito,Regular,Debit card
TXN-08785,2024-01-04,12:38,Thursday,Afternoon,"Fruits and vegetables, Snacks and drinks",Quito,New,Credit card
TXN-01582,2024-01-04,12:47,Thursday,Afternoon,"Fruits and vegetables, Snacks and drinks",Cuenca,Regular,Cash
TXN-07188,2024-01-04,14:20,Thursday,Afternoon,"Home cleaning, Meats and sausages, Dairy products and eggs, Fruits and vegetables",Guayaquil,New,Credit card
TXN-09772,2024-01-04,14:22,Thursday,Afternoon,"Meats and sausages, Fruits and vegetables, Dairy products and eggs, Snacks and drinks",Guayaquil,Regular,Cash
TXN-01533,2024-01-04,15:09,Thursday,Afternoon,"Dairy products and eggs, Meats and sausages, Snacks and drinks, Home cleaning",Guayaquil,New,Debit card
TXN-09746,2024-01-04,15:40,Thursday,Afternoon,"Meats and sausages, Snacks and drinks",Guayaquil,Regular,Credit card
TXN-01803,2024-01-04,15:52,Thursday,Afternoon,"Dairy products and eggs, Personal care",Guayaquil,Regular,Credit card
TXN-05575,2024-01-04,16:11,Thursday,Afternoon,"Snacks and drinks, Fruits and vegetables",Guayaquil,Regular,Cash
TXN-02910,2024-01-04,16:16,Thursday,Afternoon,"Fruits and vegetables, Meats and sausages, Snacks and drinks",Quito,Regular,Cash
TXN-02377,2024-01-04,16:27,Thursday,Afternoon,"Fruits and vegetables, Snacks and drinks",Quito,New,Debit card
TXN-01338,2024-01-04,16:35,Thursday,Afternoon,"Home cleaning, Fruits and vegetables, Snacks and drinks",Quito,Regular,Credit card
TXN-02349,2024-01-04,17:03,Thursday,Afternoon,"Snacks and drinks, Home cleaning",Guayaquil,Regular,Cash
TXN-07120,2024-01-04,17:06,Thursday,Afternoon,"Snacks and drinks, Home cleaning",Cuenca,New,Debit card
TXN-07168,2024-01-04,17:06,Thursday,Afternoon,"Meats and sausages, Dairy products and eggs, Snacks and drinks",Quito,New,Cash
TXN-04496,2024-01-04,17:07,Thursday,Afternoon,"Home cleaning, Fruits and vegetables",Quito,Regular,Cash
TXN-01766,2024-01-04,17:18,Thursday,Afternoon,"Fruits and vegetables, Snacks and drinks, Meats and sausages, Home cleaning",Guayaquil,Regular,Cash
TXN-07838,2024-01-04,17:31,Thursday,Afternoon,"Home cleaning, Snacks and drinks, Personal care, Dairy products and eggs",Quito,Regular,Credit card
TXN-05874,2024-01-04,18:01,Thursday,Evening,"Meats and sausages, Home cleaning",Cuenca,New,Credit card
TXN-08366,2024-01-04,18:08,Thursday,Evening,"Dairy products and eggs, Snacks and drinks",Guayaquil,Regular,Credit card
TXN-07987,2024-01-04,18:32,Thursday,Evening,"Fruits and vegetables, Snacks and drinks",Quito,Regular,Cash
TXN-07183,2024-01-04,18:52,Thursday,Evening,"Personal care, Snacks and drinks, Fruits and vegetables",Cuenca,Regular,Cash
TXN-06852,2024-01-04,19:07,Thursday,Evening,"Meats and sausages, Home cleaning, Snacks and drinks",Guayaquil,New,Credit card
TXN-08252,2024-01-04,19:59,Thursday,Evening,"Home cleaning, Meats and sausages, Personal care, Snacks and drinks",Guayaquil,Regular,Credit card
TXN-08756,2024-01-04,20:05,Thursday,Evening,"Snacks and drinks, Personal care",Quito,New,Cash
TXN-03298,2024-01-05,09:22,Friday,Morning,"Personal care, Snacks and drinks",Quito,New,Credit card
TXN-09070,2024-01-05,09:32,Friday,Morning,"Home cleaning, Personal care, Dairy products and eggs",Guayaquil,Regular,Credit card
TXN-01412,2024-01-05,09:50,Friday,Morning,"Fruits and vegetables, Meats and sausages, Personal care, Snacks and drinks",Guayaquil,Regular,Cash
TXN-00709,2024-01-05,11:41,Friday,Morning,"Fruits and vegetables, Snacks and drinks",Quito,Regular,Cash
TXN-03553,2024-01-05,12:11,Friday,Afternoon,"Fruits and vegetables, Dairy products and eggs, Meats and sausages, Snacks and drinks",Guayaquil,Regular,Debit card
TXN-09820,2024-01-05,12:12,Friday,Afternoon,"Fruits and vegetables, Meats and sausages",Quito,Regular,Credit card
TXN-03221,2024-01-05,12:32,Friday,Afternoon,"Dairy products and eggs, Home cleaning, Snacks and drinks, Personal care",Quito,Regular,Debit card
TXN-04048,2024-01-05,12:33,Friday,Afternoon,"Fruits and vegetables, Dairy products and eggs",Quito,New,Credit card
TXN-02983,2024-01-05,13:20,Friday,Afternoon,"Personal care, Home cleaning, Meats and sausages",Guayaquil,Regular,Cash
TXN-07203,2024-01-05,14:16,Friday,Afternoon,"Personal care, Meats and sausages, Home cleaning",Guayaquil,Regular,Debit card
TXN-02170,2024-01-05,14:24,Friday,Afternoon,"Fruits and vegetables, Dairy products and eggs, Meats and sausages",Cuenca,New,Debit card
TXN-03382,2024-01-05,15:07,Friday,Afternoon,"Snacks and drinks, Fruits and vegetables, Dairy products and eggs, Home cleaning",Quito,Regular,Cash
TXN-00769,2024-01-05,15:42,Friday,Afternoon,"Home cleaning, Snacks and drinks, Meats and sausages, Fruits and vegetables",Quito,Regular,Credit card
TXN-04179,2024-01-05,15:49,Friday,Afternoon,"Snacks and drinks, Fruits and vegetables",Quito,New,Cash
TXN-04717,2024-01-05,16:34,Friday,Afternoon,"Meats and sausages, Snacks and drinks, Home cleaning",Quito,Regular,Debit card
TXN-04956,2024-01-05,17:00,Friday,Afternoon,"Fruits and vegetables, Personal care, Snacks and drinks",Quito,New,Credit card
TXN-08284,2024-01-05,17:03,Friday,Afternoon,"Fruits and vegetables, Home cleaning, Personal care",Quito,New,Debit card
TXN-00009,2024-01-05,17:28,Friday,Afternoon,"Meats and sausages, Fruits and vegetables, Snacks and drinks",Guayaquil,Regular,Cash
TXN-07218,2024-01-05,17:32,Friday,Afternoon,"Meats and sausages, Snacks and drinks, Fruits and vegetables",Cuenca,Regular,Debit card
TXN-04838,2024-01-05,17:48,Friday,Afternoon,"Snacks and drinks, Meats and sausages",Quito,New,Credit card
TXN-07686,2024-01-05,18:30,Friday,Evening,"Snacks and drinks, Dairy products and eggs, Meats and sausages",Quito,Regular,Cash
TXN-03403,2024-01-05,18:52,Friday,Evening,"Snacks and drinks, Home cleaning, Dairy products and eggs",Quito,Regular,Cash
TXN-01042,2024-01-05,19:03,Friday,Evening,"Snacks and drinks, Fruits and vegetables, Meats and sausages",Cuenca,Regular,Debit card
TXN-02577,2024-01-05,19:03,Friday,Evening,"Snacks and drinks, Personal care, Home cleaning",Cuenca,Regular,Cash
TXN-07596,2024-01-05,19:50,Friday,Evening,"Snacks and drinks, Home cleaning, Meats and sausages, Personal care",Cuenca,New,Cash
TXN-06599,2024-01-05,19:54,Friday,Evening,"Personal care, Home cleaning, Meats and sausages",Cuenca,Regular,Cash
TXN-02854,2024-01-05,19:56,Friday,Evening,"Snacks and drinks, Home cleaning",Guayaquil,New,Cash
TXN-03628,2024-01-05,20:29,Friday,Evening,"Personal care, Home cleaning",Guayaquil,New,Credit card
TXN-09527,2024-01-05,20:36,Friday,Evening,"Meats and sausages, Personal care, Home cleaning",Cuenca,Regular,Credit card
TXN-01149,2024-01-05,20:53,Friday,Evening,"Home cleaning, Fruits and vegetables, Snacks and drinks",Quito,Regular,Credit card
TXN-07301,2024-01-06,09:04,Saturday,Morning,"Home cleaning, Dairy products and eggs, Meats and sausages, Fruits and vegetables",Guayaquil,Regular,Debit card
TXN-05635,2024-01-06,09:29,Saturday,Morning,"Fruits and vegetables, Meats and sausages, Snacks and drinks, Home cleaning",Quito,Regular,Debit card
TXN-00440,2024-01-06,09:33,Saturday,Morning,"Fruits and vegetables, Personal care",Cuenca,Regular,Cash
TXN-09802,2024-01-06,09:59,Saturday,Morning,"Snacks and drinks, Dairy products and eggs",Quito,Regular,Credit card
TXN-02768,2024-01-06,10:15,Saturday,Morning,"Dairy products and eggs, Fruits and vegetables",Quito,Regular,Credit card
TXN-00176,2024-01-06,10:17,Saturday,Morning,"Home cleaning, Meats and sausages",Guayaquil,New,Cash
TXN-06391,2024-01-06,10:19,Saturday,Morning,"Fruits and vegetables, Meats and sausages, Dairy products and eggs",Quito,New,Debit card
TXN-06341,2024-01-06,10:24,Saturday,Morning,"Dairy products and eggs, Fruits and vegetables, Meats and sausages, Personal care",Guayaquil,Regular,Cash
TXN-07099,2024-01-06,10:59,Saturday,Morning,"Fruits and vegetables, Dairy products and eggs",Cuenca,Regular,Debit card
TXN-08823,2024-01-06,11:32,Saturday,Morning,"Snacks and drinks, Fruits and vegetables",Cuenca,Regular,Debit card
TXN-04261,2024-01-06,11:39,Saturday,Morning,"Fruits and vegetables, Home cleaning, Personal care",Guayaquil,Regular,Cash
TXN-00878,2024-01-06,12:06,Saturday,Afternoon,"Snacks and drinks, Personal care",Guayaquil,Regular,Cash
TXN-09949,2024-01-06,12:19,Saturday,Afternoon,"Meats and sausages, Fruits and vegetables, Personal care",Cuenca,New,Credit card
TXN-07543,2024-01-06,13:04,Saturday,Afternoon,"Home cleaning, Meats and sausages",Guayaquil,Regular,Credit card
TXN-04876,2024-01-06,13:16,Saturday,Afternoon,"Personal care, Home cleaning",Quito,New,Credit card
TXN-04655,2024-01-06,13:21,Saturday,Afternoon,"Snacks and drinks, Fruits and vegetables",Quito,Regular,Cash
TXN-08229,2024-01-06,14:16,Saturday,Afternoon,"Meats and sausages, Snacks and drinks, Home cleaning",Cuenca,Regular,Credit card
TXN-04190,2024-01-06,14:43,Saturday,Afternoon,"Meats and sausages, Personal care",Quito,New,Cash
TXN-09781,2024-01-06,16:19,Saturday,Afternoon,"Dairy products and eggs, Fruits and vegetables",Quito,Regular,Cash
TXN-03040,2024-01-06,16:34,Saturday,Afternoon,"Home cleaning, Meats and sausages, Snacks and drinks",Cuenca,Regular,Credit card
TXN-08542,2024-01-06,16:56,Saturday,Afternoon,"Dairy products and eggs, Fruits and vegetables, Personal care, Meats and sausages",Guayaquil,Regular,Debit card
TXN-03303,2024-01-06,17:49,Saturday,Afternoon,"Fruits and vegetables, Snacks and drinks, Meats and sausages",Guayaquil,Regular,Credit card
TXN-02123,2024-01-06,18:13,Saturday,Evening,"Snacks and drinks, Personal care",Quito,Regular,Cash
TXN-06819,2024-01-06,18:20,Saturday,Evening,"Snacks and drinks, Personal care, Meats and sausages",Quito,New,Credit card
TXN-09529,2024-01-06,19:03,Saturday,Evening,"Meats and sausages, Snacks and drinks, Fruits and vegetables",Quito,Regular,Credit card
TXN-09847,2024-01-06,19:15,Saturday,Evening,"Home cleaning, Meats and sausages",Guayaquil,Regular,Credit card
TXN-06650,2024-01-06,20:21,Saturday,Evening,"Personal care, Snacks and drinks, Fruits and vegetables, Meats and sausages",Guayaquil,Regular,Debit card
TXN-00856,2024-01-07,10:19,Sunday,Morning,"Personal care, Fruits and vegetables",Guayaquil,Regular,Cash
TXN-09759,2024-01-07,11:56,Sunday,Morning,"Fruits and vegetables, Dairy products and eggs",Guayaquil,Regular,Cash
TXN-05350,2024-01-07,13:09,Sunday,Afternoon,"Fruits and vegetables, Home cleaning",Guayaquil,Regular,Credit card
TXN-02515,2024-01-07,13:23,Sunday,Afternoon,"Dairy products and eggs, Fruits and vegetables",Cuenca,Regular,Debit card
TXN-02270,2024-01-07,14:06,Sunday,Afternoon,"Home cleaning, Snacks and drinks, Meats and sausages, Personal care",Guayaquil,Regular,Debit card
TXN-05883,2024-01-07,14:08,Sunday,Afternoon,"Snacks and drinks, Dairy products and eggs, Fruits and vegetables",Guayaquil,Regular,Cash
TXN-06120,2024-01-07,14:12,Sunday,Afternoon,"Dairy products and eggs, Meats and sausages",Quito,Regular,Debit card
TXN-04228,2024-01-07,14:28,Sunday,Afternoon,"Fruits and vegetables, Snacks and drinks, Home cleaning, Meats and sausages",Quito,Regular,Debit card
TXN-00164,2024-01-07,14:51,Sunday,Afternoon,"Home cleaning, Fruits and vegetables",Guayaquil,New,Credit card
TXN-00839,2024-01-07,15:18,Sunday,Afternoon,"Snacks and drinks, Dairy products and eggs, Meats and sausages",Guayaquil,New,Debit card
TXN-06919,2024-01-07,15:52,Sunday,Afternoon,"Home cleaning, Snacks and drinks, Personal care",Quito,New,Credit card
TXN-01732,2024-01-07,15:57,Sunday,Afternoon,"Snacks and drinks, Home cleaning",Cuenca,New,Debit card
TXN-07428,2024-01-07,16:15,Sunday,Afternoon,"Fruits and vegetables, Snacks and drinks",Quito,New,Cash
TXN-03346,2024-01-07,17:06,Sunday,Afternoon,"Home cleaning, Snacks and drinks",Guayaquil,Regular,Cash
TXN-04461,2024-01-07,17:16,Sunday,Afternoon,"Home cleaning, Meats and sausages",Quito,Regular,Credit card
TXN-08013,2024-01-07,17:34,Sunday,Afternoon,"Snacks and drinks, Fruits and vegetables, Home cleaning, Personal care",Guayaquil,Regular,Credit card
TXN-06137,2024-01-07,17:35,Sunday,Afternoon,"Fruits and vegetables, Dairy products and eggs, Meats and sausages",Guayaquil,Regular,Credit card
TXN-07904,2024-01-07,18:15,Sunday,Evening,"Fruits and vegetables, Dairy products and eggs, Snacks and drinks, Personal care",Guayaquil,Regular,Cash
TXN-02241,2024-01-07,18:28,Sunday,Evening,"Personal care, Snacks and drinks",Cuenca,Regular,Credit card
TXN-08333,2024-01-07,19:17,Sunday,Evening,"Meats and sausages, Personal care",Quito,New,Cash
TXN-09477,2024-01-07,19:17,Sunday,Evening,"Fruits and vegetables, Snacks and drinks, Home cleaning",Quito,New,Debit card
TXN-09212,2024-01-07,19:22,Sunday,Evening,"Snacks and drinks, Meats and sausages",Quito,New,Credit card
TXN-03741,2024-01-07,19:50,Sunday,Evening,"Fruits and vegetables, Snacks and drinks",Cuenca,Regular,Credit card
TXN-02096,2024-01-07,20:16,Sunday,Evening,"Snacks and drinks, Personal care, Home cleaning",Quito,Regular,Debit card
TXN-07061,2024-01-07,20:19,Sunday,Evening,"Home cleaning, Snacks and drinks, Personal care",Quito,Regular,Debit card
TXN-01296,2024-01-08,09:16,Monday,Morning,"Dairy products and eggs, Meats and sausages",Guayaquil,Regular,Debit card
TXN-02298,2024-01-08,09:30,Monday,Morning,"Snacks and drinks, Fruits and vegetables, Meats and sausages, Dairy products and eggs",Guayaquil,Regular,Credit card
TXN-02800,2024-01-08,09:39,Monday,Morning,"Meats and sausages, Dairy products and eggs",Quito,New,Cash
TXN-02814,2024-01-08,10:03,Monday,Morning,"Fruits and vegetables, Snacks and drinks, Personal care",Guayaquil,Regular,Credit card
TXN-09388,2024-01-08,10:35,Monday,Morning,"Fruits and vegetables, Meats and sausages, Dairy products and eggs, Personal care",Guayaquil,Regular,Cash
TXN-00984,2024-01-08,10:39,Monday,Morning,"Dairy products and eggs, Fruits and vegetables",Quito,New,Debit card
TXN-06130,2024-01-08,11:34,Monday,Morning,"Dairy products and eggs, Personal care",Quito,Regular,Credit card
TXN-05251,2024-01-08,13:23,Monday,Afternoon,"Snacks and drinks, Fruits and vegetables, Meats and sausages",Cuenca,New,Credit card
TXN-01125,2024-01-08,13:29,Monday,Afternoon,"Home cleaning, Personal care, Snacks and drinks",Guayaquil,New,Credit card
TXN-07256,2024-01-08,13:47,Monday,Afternoon,"Fruits and vegetables, Snacks and drinks",Quito,Regular,Debit card
TXN-00254,2024-01-08,13:57,Monday,Afternoon,"Personal care, Fruits and vegetables, Meats and sausages",Guayaquil,Regular,Debit card
TXN-00347,2024-01-08,14:09,Monday,Afternoon,"Home cleaning, Fruits and vegetables, Snacks and drinks",Guayaquil,Regular,Credit card
TXN-07559,2024-01-08,15:03,Monday,Afternoon,"Snacks and drinks, Meats and sausages",Cuenca,New,Credit card
TXN-01676,2024-01-08,15:35,Monday,Afternoon,"Home cleaning, Meats and sausages, Personal care",Guayaquil,Regular,Cash
TXN-07066,2024-01-08,15:47,Monday,Afternoon,"Fruits and vegetables, Meats and sausages",Quito,New,Credit card
TXN-03647,2024-01-08,16:13,Monday,Afternoon,"Dairy products and eggs, Home cleaning, Fruits and vegetables, Personal care",Guayaquil,Regular,Debit card
TXN-02133,2024-01-08,16:15,Monday,Afternoon,"Meats and sausages, Snacks and drinks, Dairy products and eggs, Fruits and vegetables",Guayaquil,New,Credit card
TXN-07159,2024-01-08,16:56,Monday,Afternoon,"Fruits and vegetables, Personal care",Guayaquil,Regular,Credit card
TXN-05201,2024-01-08,17:08,Monday,Afternoon,"Home cleaning, Meats and sausages",Guayaquil,Regular,Cash
TXN-02747,2024-01-08,17:19,Monday,Afternoon,"Personal care, Meats and sausages, Fruits and vegetables, Snacks and drinks",Guayaquil,New,Debit card
TXN-00545,2024-01-08,17:20,Monday,Afternoon,"Fruits and vegetables, Home cleaning",Quito,Regular,Cash
